city,temperature_low,temperature_high,weather_start,weather_end,wind_level,air_quality,date
伊宁,19,30,6,1,2.0,60.0,2025-07-01
伊宁,18,32,6,1,2.0,47.0,2025-07-02
伊宁,18,32,1,1,2.0,49.0,2025-07-03
伊宁,19,33,1,1,2.0,44.0,2025-07-04
伊宁,18,31,6,2,1.0,50.0,2025-07-05
伊宁,19,32,7,1,3.0,38.0,2025-07-06
伊宁,17,31,6,1,2.0,36.0,2025-07-07
伊宁,19,32,1,7,2.0,39.0,2025-07-08
伊宁,14,26,6,7,2.0,34.0,2025-06-01
伊宁,14,24,6,7,2.0,32.0,2025-06-02
伊宁,14,27,6,7,1.0,42.0,2025-06-03
伊宁,15,29,6,7,1.0,58.0,2025-06-04
伊宁,17,31,7,1,1.0,71.0,2025-06-05
伊宁,17,33,7,1,2.0,72.0,2025-06-06
伊宁,20,33,7,6,2.0,51.0,2025-06-07
伊宁,18,31,7,3,2.0,72.0,2025-06-08
伊宁,20,30,6,7,2.0,35.0,2025-06-09
伊宁,18,32,6,2,1.0,44.0,2025-06-10
伊宁,19,29,3,7,1.0,44.0,2025-06-11
伊宁,17,27,6,7,1.0,43.0,2025-06-12
伊宁,19,32,6,3,1.0,31.0,2025-06-13
伊宁,19,29,6,3,1.0,39.0,2025-06-14
伊宁,16,26,6,7,1.0,37.0,2025-06-15
伊宁,18,31,7,1,2.0,47.0,2025-06-16
伊宁,19,31,6,1,1.0,33.0,2025-06-17
伊宁,19,33,6,1,1.0,38.0,2025-06-18
伊宁,19,33,1,7,1.0,43.0,2025-06-19
伊宁,19,32,6,3,3.0,55.0,2025-06-20
伊宁,19,31,1,1,1.0,39.0,2025-06-21
伊宁,18,33,6,3,2.0,41.0,2025-06-22
伊宁,18,29,6,1,4.0,32.0,2025-06-23
伊宁,19,29,6,7,1.0,31.0,2025-06-24
伊宁,21,34,6,7,2.0,37.0,2025-06-25
伊宁,19,30,6,3,1.0,63.0,2025-06-26
伊宁,17,27,7,1,3.0,46.0,2025-06-27
伊宁,18,30,1,1,1.0,37.0,2025-06-28
伊宁,18,32,6,7,2.0,48.0,2025-06-29
伊宁,19,32,7,3,2.0,52.0,2025-06-30
伊宁,16,25,6,3,2.0,45.0,2025-05-01
伊宁,14,21,6,4,1.0,32.0,2025-05-02
伊宁,12,22,1,1,2.0,27.0,2025-05-03
伊宁,12,26,7,1,2.0,33.0,2025-05-04
伊宁,13,29,6,3,1.0,51.0,2025-05-05
伊宁,13,27,1,1,2.0,41.0,2025-05-06
伊宁,15,29,7,7,2.0,49.0,2025-05-07
伊宁,16,31,6,1,2.0,56.0,2025-05-08
伊宁,18,34,7,3,1.0,58.0,2025-05-09
伊宁,15,21,3,3,1.0,50.0,2025-05-10
伊宁,13,25,3,2,1.0,40.0,2025-05-11
伊宁,13,24,6,1,1.0,32.0,2025-05-12
伊宁,13,27,1,1,3.0,37.0,2025-05-13
伊宁,15,31,1,1,1.0,42.0,2025-05-14
伊宁,16,32,1,1,1.0,50.0,2025-05-15
伊宁,17,33,1,1,2.0,50.0,2025-05-16
伊宁,16,35,1,1,3.0,52.0,2025-05-17
伊宁,17,32,7,3,3.0,109.0,2025-05-18
伊宁,11,21,6,3,3.0,37.0,2025-05-19
伊宁,11,23,1,1,1.0,28.0,2025-05-20
伊宁,14,26,1,1,2.0,35.0,2025-05-21
伊宁,14,31,1,1,2.0,41.0,2025-05-22
伊宁,16,32,6,3,1.0,52.0,2025-05-23
伊宁,11,19,3,7,2.0,44.0,2025-05-24
伊宁,14,29,7,7,1.0,33.0,2025-05-25
伊宁,14,22,3,7,3.0,50.0,2025-05-26
伊宁,10,22,6,7,3.0,24.0,2025-05-27
伊宁,11,23,6,1,1.0,36.0,2025-05-28
伊宁,12,26,6,1,1.0,41.0,2025-05-29
伊宁,13,28,1,6,1.0,47.0,2025-05-30
伊宁,15,26,6,6,2.0,42.0,2025-05-31
伊宁,5,17,6,1,2.0,52.0,2025-04-01
伊宁,8,17,7,3,3.0,32.0,2025-04-02
伊宁,9,20,7,1,2.0,41.0,2025-04-03
伊宁,12,23,1,7,3.0,41.0,2025-04-04
伊宁,11,21,6,3,1.0,83.0,2025-04-05
伊宁,8,18,7,6,1.0,30.0,2025-04-06
伊宁,9,18,6,7,1.0,36.0,2025-04-07
伊宁,10,23,6,7,2.0,47.0,2025-04-08
伊宁,10,22,6,1,1.0,63.0,2025-04-09
伊宁,10,21,1,1,1.0,41.0,2025-04-10
伊宁,15,27,1,1,4.0,57.0,2025-04-11
伊宁,16,28,7,1,4.0,63.0,2025-04-12
伊宁,13,28,6,7,4.0,88.0,2025-04-13
伊宁,12,21,3,3,3.0,96.0,2025-04-14
伊宁,12,23,7,3,1.0,33.0,2025-04-15
伊宁,5,11,4,1,4.0,32.0,2025-04-16
伊宁,8,17,1,6,3.0,27.0,2025-04-17
伊宁,8,15,6,6,3.0,39.0,2025-04-18
伊宁,6,15,6,1,3.0,33.0,2025-04-19
伊宁,5,15,6,1,2.0,28.0,2025-04-20
伊宁,9,19,7,7,2.0,31.0,2025-04-21
伊宁,8,21,7,7,1.0,56.0,2025-04-22
伊宁,11,18,6,3,2.0,43.0,2025-04-23
伊宁,11,19,6,3,1.0,43.0,2025-04-24
