city,temperature_low,temperature_high,weather_start,weather_end,wind_level,air_quality,date
南京,24,31,3,9,2,37,2020-09-01
南京,21,31,2,7,3,35,2020-09-02
南京,19,31,1,7,2,45,2020-09-03
南京,20,33,1,1,2,53,2020-09-04
南京,22,32,7,7,2,62,2020-09-05
南京,22,32,7,7,2,60,2020-09-06
南京,22,33,1,1,2,63,2020-09-07
南京,23,34,7,7,2,62,2020-09-08
南京,23,34,7,6,2,72,2020-09-09
南京,22,26,3,9,2,74,2020-09-10
南京,20,28,6,7,3,46,2020-09-11
南京,20,29,7,7,2,37,2020-09-12
南京,20,29,6,7,2,40,2020-09-13
南京,21,27,6,7,2,39,2020-09-14
南京,21,23,2,7,2,42,2020-09-15
南京,22,28,6,2,1,43,2020-09-16
南京,18,21,2,3,2,36,2020-09-17
南京,16,25,3,7,2,37,2020-09-18
南京,16,26,6,7,2,49,2020-09-19
南京,20,28,6,7,2,64,2020-09-20
南京,19,25,6,9,2,48,2020-09-21
南京,19,24,3,3,2,50,2020-09-22
南京,17,25,3,7,2,46,2020-09-23
南京,17,27,7,1,1,43,2020-09-24
南京,18,26,7,7,2,45,2020-09-25
南京,18,26,7,7,2,63,2020-09-26
南京,17,26,7,7,2,43,2020-09-27
南京,19,27,7,7,2,47,2020-09-28
南京,18,26,6,1,2,52,2020-09-29
南京,17,26,7,7,2,47,2020-09-30
南京,27,35,2,7,2,45,2020-08-01
南京,27,34,7,7,2,46,2020-08-02
南京,26,34,7,7,2,48,2020-08-03
南京,26,33,3,9,3,33,2020-08-04
南京,27,36,7,6,2,49,2020-08-05
南京,27,33,7,7,3,38,2020-08-06
南京,27,33,6,6,3,31,2020-08-07
南京,26,31,4,9,2,29,2020-08-08
南京,25,32,3,9,3,30,2020-08-09
南京,26,30,2,4,2,27,2020-08-10
南京,27,34,7,7,2,33,2020-08-11
南京,26,31,6,7,3,33,2020-08-12
南京,27,35,7,7,3,27,2020-08-13
南京,27,35,6,7,3,28,2020-08-14
南京,26,37,1,7,2,34,2020-08-15
南京,28,37,1,7,2,59,2020-08-16
南京,27,36,1,7,2,59,2020-08-17
南京,27,36,1,1,2,63,2020-08-18
南京,27,37,1,7,2,56,2020-08-19
南京,26,35,6,7,2,48,2020-08-20
南京,25,32,6,7,3,37,2020-08-21
南京,26,33,7,7,2,61,2020-08-22
南京,25,34,1,7,2,60,2020-08-23
南京,27,36,1,7,2,51,2020-08-24
南京,25,33,6,3,2,42,2020-08-25
南京,25,32,6,7,3,41,2020-08-26
南京,24,32,3,7,2,29,2020-08-27
南京,23,28,6,6,2,42,2020-08-28
南京,23,30,7,7,2,42,2020-08-29
南京,26,33,7,3,1,44,2020-08-30
南京,25,34,6,7,2,42,2020-08-31
南京,22,29,6,7,3,75,2020-07-01
南京,23,26,3,2,3,42,2020-07-02
南京,23,27,6,6,3,27,2020-07-03
南京,21,27,6,6,2,35,2020-07-04
南京,24,24,2,9,2,42,2020-07-05
南京,23,29,3,3,2,24,2020-07-06
南京,26,33,2,7,2,30,2020-07-07
南京,24,28,7,6,3,59,2020-07-08
南京,22,27,6,7,3,39,2020-07-09
南京,24,29,6,9,2,43,2020-07-10
南京,24,28,2,6,3,38,2020-07-11
南京,22,31,6,9,3,47,2020-07-12
南京,22,24,3,9,2,23,2020-07-13
南京,22,25,3,4,1,34,2020-07-14
南京,19,22,2,6,2,30,2020-07-15
南京,21,25,6,2,2,31,2020-07-16
南京,23,23,2,2,3,30,2020-07-17
南京,23,27,3,2,2,28,2020-07-18
南京,22,27,2,2,3,28,2020-07-19
南京,21,28,7,7,2,48,2020-07-20
南京,24,28,6,6,1,41,2020-07-21
南京,27,34,3,7,2,52,2020-07-22
南京,23,27,6,3,3,31,2020-07-23
南京,19,28,3,7,2,41,2020-07-24
南京,21,31,7,7,1,66,2020-07-25
南京,24,30,6,4,3,57,2020-07-26
南京,24,26,3,9,2,33,2020-07-27
南京,23,27,3,9,2,34,2020-07-28
南京,25,31,6,9,2,74,2020-07-29
南京,27,31,3,7,3,60,2020-07-30
南京,27,34,6,7,2,40,2020-07-31
