city,temperature_low,temperature_high,weather_start,weather_end,wind_level,air_quality,date
苏州,29,38,6,1,2,34,2024-08-01
苏州,31,39,6,1,2,28,2024-08-02
苏州,30,39,2,7,1,60,2024-08-03
苏州,30,39,6,1,2,46,2024-08-04
苏州,29,38,4,7,2,56,2024-08-05
苏州,29,37,6,1,2,47,2024-08-06
苏州,29,38,7,7,2,50,2024-08-07
苏州,29,38,6,1,1,50,2024-08-08
苏州,30,38,3,1,1,62,2024-08-09
苏州,29,38,6,7,2,50,2024-08-10
苏州,29,39,7,7,2,51,2024-08-11
苏州,27,36,3,9,1,39,2024-08-12
苏州,27,34,2,6,1,45,2024-08-13
苏州,27,34,6,7,2,35,2024-08-14
苏州,26,32,2,1,3,29,2024-08-15
苏州,27,35,3,1,2,40,2024-08-16
苏州,27,34,7,7,2,34,2024-08-17
苏州,28,35,6,7,2,28,2024-08-18
苏州,28,34,6,7,3,22,2024-08-19
苏州,27,34,6,4,2,29,2024-08-20
苏州,27,33,2,7,2,31,2024-08-21
苏州,27,35,6,1,2,39,2024-08-22
苏州,27,36,3,1,1,62,2024-08-23
苏州,27,36,1,1,2,42,2024-08-24
苏州,28,35,6,7,2,54,2024-08-25
苏州,27,36,6,6,2,42,2024-08-26
苏州,26,33,6,2,3,37,2024-08-27
苏州,27,33,2,9,2,33,2024-08-28
苏州,26,34,6,1,3,26,2024-08-29
苏州,27,34,6,1,1,37,2024-08-30
苏州,27,34,7,7,1,40,2024-08-31
