city,temperature_low,temperature_high,weather_start,weather_end,wind_level,air_quality,date
青海,10,14,3,7,2.0,34.0,2025-07-01
青海,11,25,6,7,2.0,41.0,2025-07-02
青海,12,26,6,4,3.0,41.0,2025-07-03
青海,8,18,3,7,2.0,37.0,2025-07-04
青海,11,22,6,3,1.0,33.0,2025-07-05
青海,9,24,6,7,1.0,35.0,2025-07-06
青海,10,27,6,3,1.0,50.0,2025-07-07
青海,10,22,3,1,2.0,45.0,2025-07-08
青海,6,14,6,7,1.0,37.0,2025-06-01
青海,7,18,6,7,3.0,38.0,2025-06-02
青海,6,19,6,7,3.0,42.0,2025-06-03
青海,10,21,6,7,2.0,43.0,2025-06-04
青海,9,20,6,7,2.0,48.0,2025-06-05
青海,8,21,6,3,1.0,50.0,2025-06-06
青海,8,21,6,3,2.0,52.0,2025-06-07
青海,8,20,3,3,2.0,49.0,2025-06-08
青海,8,19,6,7,1.0,35.0,2025-06-09
青海,8,23,6,1,1.0,39.0,2025-06-10
青海,10,27,6,7,2.0,40.0,2025-06-11
青海,10,28,6,7,1.0,48.0,2025-06-12
青海,8,27,6,3,2.0,42.0,2025-06-13
青海,7,22,7,1,3.0,40.0,2025-06-14
青海,8,27,1,1,2.0,45.0,2025-06-15
青海,12,27,1,7,2.0,45.0,2025-06-16
青海,13,24,6,7,2.0,52.0,2025-06-17
青海,12,24,6,3,2.0,51.0,2025-06-18
青海,10,20,3,6,1.0,39.0,2025-06-19
青海,10,25,6,3,2.0,37.0,2025-06-20
青海,7,20,2,7,2.0,36.0,2025-06-21
青海,10,24,5,7,2.0,37.0,2025-06-22
青海,9,20,6,3,2.0,35.0,2025-06-23
青海,8,21,6,3,2.0,31.0,2025-06-24
青海,10,21,3,7,2.0,38.0,2025-06-25
青海,8,24,6,1,2.0,39.0,2025-06-26
青海,10,26,1,1,2.0,40.0,2025-06-27
青海,10,28,7,3,1.0,45.0,2025-06-28
青海,8,15,2,1,1.0,30.0,2025-06-29
青海,11,24,7,3,2.0,39.0,2025-06-30
青海,8,24,1,7,1.0,49.0,2025-05-01
青海,5,26,6,1,2.0,80.0,2025-05-02
青海,8,23,6,7,2.0,212.0,2025-05-03
青海,1,16,6,1,3.0,87.0,2025-05-04
青海,4,22,5,7,3.0,70.0,2025-05-05
青海,7,22,1,7,1.0,143.0,2025-05-06
青海,4,18,6,7,3.0,134.0,2025-05-07
青海,0,19,6,1,3.0,60.0,2025-05-08
青海,1,17,6,1,1.0,49.0,2025-05-09
青海,4,20,1,1,2.0,43.0,2025-05-10
青海,7,25,1,7,2.0,57.0,2025-05-11
青海,7,22,6,7,3.0,59.0,2025-05-12
青海,6,23,6,3,3.0,57.0,2025-05-13
青海,4,17,6,7,1.0,37.0,2025-05-14
青海,9,24,1,7,1.0,47.0,2025-05-15
青海,8,24,6,7,1.0,45.0,2025-05-16
青海,8,23,6,7,1.0,74.0,2025-05-17
青海,8,25,1,1,2.0,43.0,2025-05-18
青海,11,27,6,7,2.0,51.0,2025-05-19
青海,11,27,6,7,2.0,51.0,2025-05-20
青海,4,22,6,7,1.0,53.0,2025-05-21
青海,4,21,6,7,3.0,54.0,2025-05-22
青海,4,19,6,7,2.0,50.0,2025-05-23
青海,5,20,7,1,2.0,38.0,2025-05-24
青海,8,23,1,7,2.0,41.0,2025-05-25
