city,temperature_low,temperature_high,weather_start,weather_end,wind_level,air_quality,date
银川,19,28,6,9,2.0,45.0,2025-07-01
银川,19,30,6,7,3.0,38.0,2025-07-02
银川,20,34,7,3,1.0,61.0,2025-07-03
银川,14,22,2,6,1.0,114.0,2025-07-04
银川,17,28,7,7,1.0,35.0,2025-07-05
银川,17,29,6,7,3.0,40.0,2025-07-06
银川,19,31,1,7,2.0,52.0,2025-07-07
银川,19,28,6,6,2.0,50.0,2025-07-08
银川,12,29,6,7,1.0,52.0,2025-06-01
银川,10,27,7,7,3.0,50.0,2025-06-02
银川,14,28,7,7,1.0,34.0,2025-06-03
银川,15,30,6,7,1.0,43.0,2025-06-04
银川,16,30,7,7,1.0,42.0,2025-06-05
银川,18,33,7,7,1.0,51.0,2025-06-06
银川,17,33,6,7,2.0,56.0,2025-06-07
银川,17,33,6,7,2.0,38.0,2025-06-08
银川,15,33,6,7,3.0,58.0,2025-06-09
银川,16,32,1,1,1.0,52.0,2025-06-10
银川,19,35,6,1,3.0,51.0,2025-06-11
银川,16,33,6,7,2.0,73.0,2025-06-12
银川,15,28,6,9,2.0,48.0,2025-06-13
银川,11,22,6,1,4.0,42.0,2025-06-14
银川,13,28,1,1,3.0,49.0,2025-06-15
银川,15,31,1,1,2.0,52.0,2025-06-16
银川,17,31,6,6,2.0,48.0,2025-06-17
银川,19,30,6,6,1.0,54.0,2025-06-18
银川,16,29,6,7,3.0,42.0,2025-06-19
银川,16,30,7,7,2.0,40.0,2025-06-20
银川,17,33,7,7,2.0,54.0,2025-06-21
银川,16,31,6,6,3.0,65.0,2025-06-22
银川,19,27,6,6,1.0,40.0,2025-06-23
银川,16,28,6,3,3.0,42.0,2025-06-24
银川,16,24,6,7,4.0,39.0,2025-06-25
银川,17,27,6,9,1.0,39.0,2025-06-26
银川,16,27,3,7,3.0,38.0,2025-06-27
银川,19,30,1,1,1.0,55.0,2025-06-28
银川,18,30,6,9,1.0,59.0,2025-06-29
银川,17,28,7,1,2.0,42.0,2025-06-30
银川,17,31,7,1,3.0,79.0,2025-05-01
银川,7,28,7,7,4.0,110.0,2025-05-02
银川,10,19,7,7,2.0,38.0,2025-05-03
银川,9,15,6,1,3.0,94.0,2025-05-04
银川,6,18,7,1,5.0,277.0,2025-05-05
银川,12,25,7,7,1.0,127.0,2025-05-06
银川,13,22,6,7,3.0,104.0,2025-05-07
银川,8,16,3,7,2.0,79.0,2025-05-08
银川,5,18,7,1,3.0,45.0,2025-05-09
银川,7,22,1,1,2.0,44.0,2025-05-10
银川,11,28,1,7,3.0,49.0,2025-05-11
银川,14,28,6,7,3.0,63.0,2025-05-12
银川,12,26,6,7,3.0,79.0,2025-05-13
银川,14,26,6,7,1.0,100.0,2025-05-14
银川,14,30,7,1,2.0,54.0,2025-05-15
银川,9,30,7,1,3.0,89.0,2025-05-16
银川,9,21,1,1,2.0,120.0,2025-05-17
银川,16,30,1,1,3.0,68.0,2025-05-18
银川,17,35,1,1,2.0,61.0,2025-05-19
银川,17,36,6,1,1.0,65.0,2025-05-20
银川,14,32,6,9,2.0,87.0,2025-05-21
银川,8,23,6,1,2.0,112.0,2025-05-22
银川,8,22,1,1,1.0,37.0,2025-05-23
银川,11,24,1,7,2.0,55.0,2025-05-24
银川,11,24,6,7,2.0,47.0,2025-05-25
银川,13,27,1,7,2.0,57.0,2025-05-26
银川,15,29,1,1,3.0,50.0,2025-05-27
银川,16,30,1,1,4.0,61.0,2025-05-28
银川,19,31,3,3,4.0,57.0,2025-05-29
银川,10,16,3,7,1.0,97.0,2025-05-30
银川,15,25,5,7,2.0,53.0,2025-05-31
银川,0,17,1,1,3.0,42.0,2025-04-01
银川,4,11,7,7,1.0,58.0,2025-04-02
银川,4,12,7,7,3.0,139.0,2025-04-03
银川,0,17,6,1,2.0,66.0,2025-04-04
银川,5,20,7,1,2.0,55.0,2025-04-05
银川,6,25,7,1,2.0,120.0,2025-04-06
银川,10,24,7,13,1.0,91.0,2025-04-07
银川,8,21,1,1,4.0,115.0,2025-04-08
银川,7,20,1,1,2.0,58.0,2025-04-09
银川,12,23,6,7,3.0,80.0,2025-04-10
银川,-2,14,7,13,4.0,302.0,2025-04-11
银川,3,12,1,1,2.0,123.0,2025-04-12
银川,6,21,1,1,2.0,70.0,2025-04-13
银川,9,24,1,7,1.0,50.0,2025-04-14
银川,11,27,6,1,3.0,136.0,2025-04-15
银川,10,24,7,7,4.0,135.0,2025-04-16
银川,13,26,7,13,3.0,103.0,2025-04-17
银川,8,19,6,1,3.0,66.0,2025-04-18
银川,13,24,6,7,2.0,104.0,2025-04-19
银川,12,27,7,3,2.0,124.0,2025-04-20
银川,3,15,7,7,4.0,145.0,2025-04-21
银川,7,21,7,7,1.0,84.0,2025-04-22
银川,6,23,7,7,3.0,62.0,2025-04-23
银川,8,22,1,1,1.0,54.0,2025-04-24
银川,12,25,7,7,2.0,65.0,2025-04-25
银川,6,25,6,7,2.0,71.0,2025-04-26
银川,4,18,7,7,2.0,52.0,2025-04-27
银川,8,23,7,7,3.0,54.0,2025-04-28
银川,12,25,6,7,4.0,93.0,2025-04-29
银川,12,24,3,1,5.0,155.0,2025-04-30
银川,0,12,6,8,3.0,92.0,2025-03-01
银川,0,7,6,8,2.0,59.0,2025-03-02
银川,-1,8,5,7,1.0,56.0,2025-03-03
银川,-2,10,5,7,1.0,80.0,2025-03-04
银川,-3,6,7,6,3.0,65.0,2025-03-05
银川,-2,5,6,6,1.0,52.0,2025-03-06
银川,-2,11,5,1,2.0,92.0,2025-03-07
银川,-1,13,1,1,1.0,100.0,2025-03-08
银川,0,14,7,1,1.0,331.0,2025-03-09
银川,0,17,7,13,1.0,157.0,2025-03-10
银川,-3,15,7,1,2.0,224.0,2025-03-11
银川,1,16,7,7,2.0,81.0,2025-03-12
银川,3,14,6,6,3.0,97.0,2025-03-13
银川,-1,11,6,6,3.0,71.0,2025-03-14
银川,-7,4,1,1,3.0,46.0,2025-03-15
银川,-4,5,1,1,2.0,41.0,2025-03-16
银川,-4,10,6,1,1.0,51.0,2025-03-17
银川,0,12,7,1,1.0,46.0,2025-03-18
银川,-1,14,1,1,1.0,50.0,2025-03-19
银川,0,15,1,1,1.0,62.0,2025-03-20
银川,2,16,1,1,1.0,66.0,2025-03-21
银川,3,18,1,1,3.0,90.0,2025-03-22
银川,6,20,7,13,3.0,296.0,2025-03-23
银川,8,25,7,1,4.0,379.0,2025-03-24
银川,7,24,7,13,1.0,423.0,2025-03-25
银川,0,14,7,13,3.0,307.0,2025-03-26
银川,-5,4,6,13,4.0,138.0,2025-03-27
银川,-6,4,1,1,2.0,87.0,2025-03-28
银川,-3,8,7,7,2.0,51.0,2025-03-29
银川,0,11,6,7,1.0,54.0,2025-03-30
银川,1,15,7,1,2.0,48.0,2025-03-31
银川,-6,4,7,7,1.0,95.0,2025-02-01
银川,-10,1,6,7,1.0,40.0,2025-02-02
银川,-10,1,7,1,1.0,34.0,2025-02-03
银川,-13,0,1,1,2.0,38.0,2025-02-04
银川,-12,0,1,1,1.0,39.0,2025-02-05
银川,-18,-1,3,1,3.0,91.0,2025-02-06
银川,-15,-5,1,1,1.0,50.0,2025-02-07
银川,-13,-3,1,1,2.0,45.0,2025-02-08
银川,-10,2,7,1,1.0,73.0,2025-02-09
银川,-4,8,7,6,2.0,86.0,2025-02-10
银川,-10,3,6,1,3.0,85.0,2025-02-11
银川,-10,1,1,1,2.0,63.0,2025-02-12
银川,-8,4,7,7,,87.0,2025-02-13
银川,-9,8,6,7,2.0,65.0,2025-02-14
银川,-5,7,1,1,2.0,62.0,2025-02-15
银川,-4,6,1,1,1.0,74.0,2025-02-16
银川,-6,9,1,7,2.0,72.0,2025-02-17
银川,-4,4,7,6,3.0,68.0,2025-02-18
银川,-3,5,7,7,2.0,43.0,2025-02-19
银川,-6,5,1,7,1.0,56.0,2025-02-20
银川,-9,3,5,7,3.0,70.0,2025-02-21
银川,-10,0,7,7,2.0,41.0,2025-02-22
银川,-9,0,1,7,2.0,40.0,2025-02-23
银川,-6,3,6,7,1.0,66.0,2025-02-24
银川,-6,9,1,1,1.0,77.0,2025-02-25
银川,-5,9,6,1,1.0,83.0,2025-02-26
银川,-4,12,7,7,1.0,77.0,2025-02-27
银川,0,12,6,7,2.0,80.0,2025-02-28
银川,-9,3,7,1,1.0,164.0,2025-01-01
银川,-8,0,1,1,3.0,81.0,2025-01-02
银川,-8,2,7,7,1.0,81.0,2025-01-03
银川,-9,5,6,1,2.0,101.0,2025-01-04
银川,-9,3,1,1,1.0,65.0,2025-01-05
银川,-10,1,1,1,2.0,55.0,2025-01-06
银川,-10,2,6,1,1.0,71.0,2025-01-07
银川,-11,0,1,7,2.0,61.0,2025-01-08
银川,-8,0,7,7,1.0,60.0,2025-01-09
银川,-5,0,7,7,1.0,58.0,2025-01-10
银川,-11,0,6,1,2.0,67.0,2025-01-11
银川,-11,5,1,1,1.0,111.0,2025-01-12
银川,-8,7,7,7,1.0,137.0,2025-01-13
银川,-14,-2,6,1,2.0,41.0,2025-01-14
银川,-13,-1,1,1,1.0,52.0,2025-01-15
银川,-10,3,6,1,1.0,59.0,2025-01-16
银川,-7,1,7,7,1.0,80.0,2025-01-17
银川,-9,4,7,1,2.0,72.0,2025-01-18
银川,-9,6,7,1,1.0,81.0,2025-01-19
银川,-6,6,1,7,1.0,122.0,2025-01-20
银川,-8,6,7,7,2.0,95.0,2025-01-21
银川,-6,7,7,7,1.0,97.0,2025-01-22
银川,-2,4,7,7,3.0,91.0,2025-01-23
银川,-5,4,8,14,2.0,125.0,2025-01-24
银川,-16,0,5,1,3.0,61.0,2025-01-25
银川,-20,-8,1,1,1.0,48.0,2025-01-26
银川,-17,-6,1,1,2.0,58.0,2025-01-27
银川,-16,-2,5,1,2.0,97.0,2025-01-28
银川,-11,1,5,1,1.0,320.0,2025-01-29
银川,-10,2,5,7,1.0,214.0,2025-01-30
银川,-8,5,7,7,1.0,169.0,2025-01-31
银川,-5,7,1,1,1.0,,2024-12-01
银川,-5,1,6,7,1.0,,2024-12-02
