city,temperature_low,temperature_high,weather_start_raw,weather_end_raw,wind_level,air_quality,date
南京,-1,3,多云,多云,2,,2022-12-01
南京,1,5,晴,阴,2,,2022-12-02
南京,4,5,小雨,小雨,2,,2022-12-03
南京,3,5,小雨,小雨,3,,2022-12-04
南京,0,9,多云,多云,2,,2022-12-05
南京,1,11,雾,多云,1,,2022-12-06
南京,8,9,多云,小雨,2,,2022-12-07
南京,8,10,多云,小雨,1,,2022-12-08
南京,8,10,雾,阴,2,,2022-12-09
南京,1,12,小雨,多云,3,,2022-12-10
南京,0,7,多云,多云,3,,2022-12-11
南京,0,8,雾,晴,3,,2022-12-12
南京,-2,12,晴,多云,3,,2022-12-13
南京,0,7,晴,晴,2,,2022-12-14
南京,6,13,晴,多云,1,,2022-12-15
南京,-2,6,小雨,阴,4,,2022-12-16
南京,-3,2,多云,多云,4,,2022-12-17
南京,-2,5,晴,晴,3,,2022-12-18
南京,-2,10,晴,多云,2,,2022-12-19
南京,2,11,多云,阴,1,,2022-12-20
南京,1,10,多云,晴,3,,2022-12-21
南京,-4,4,晴,晴,4,,2022-12-22
南京,-4,7,晴,多云,1,,2022-12-23
南京,-5,5,晴,多云,3,,2022-12-24
南京,-1,8,晴,多云,2,,2022-12-25
南京,-1,5,多云,多云,1,,2022-12-26
南京,0,8,多云,阴,2,,2022-12-27
南京,0,5,多云,多云,2,,2022-12-28
南京,-1,6,多云,多云,2,,2022-12-29
南京,-2,9,多云,多云,1,,2022-12-30
南京,0,11,多云,多云,1,84.0,2022-12-31
