city,temperature_low,temperature_high,weather_start_raw,weather_end_raw,wind_level,air_quality,date
苏州,29,38,阴,晴,2,34,2024-08-01
苏州,31,39,阴,晴,2,28,2024-08-02
苏州,30,39,中雨,多云,1,60,2024-08-03
苏州,30,39,阴,晴,2,46,2024-08-04
苏州,29,38,大雨,多云,2,56,2024-08-05
苏州,29,37,阴,晴,2,47,2024-08-06
苏州,29,38,多云,多云,2,50,2024-08-07
苏州,29,38,阴,晴,1,50,2024-08-08
苏州,30,38,小雨,晴,1,62,2024-08-09
苏州,29,38,阴,多云,2,50,2024-08-10
苏州,29,39,多云,多云,2,51,2024-08-11
苏州,27,36,小雨,雷阵雨,1,39,2024-08-12
苏州,27,34,中雨,阴,1,45,2024-08-13
苏州,27,34,阴,多云,2,35,2024-08-14
苏州,26,32,中雨,晴,3,29,2024-08-15
苏州,27,35,小雨,晴,2,40,2024-08-16
苏州,27,34,多云,多云,2,34,2024-08-17
苏州,28,35,阴,多云,2,28,2024-08-18
苏州,28,34,阴,多云,3,22,2024-08-19
苏州,27,34,阴,大雨,2,29,2024-08-20
苏州,27,33,中雨,多云,2,31,2024-08-21
苏州,27,35,阴,晴,2,39,2024-08-22
苏州,27,36,小雨,晴,1,62,2024-08-23
苏州,27,36,晴,晴,2,42,2024-08-24
苏州,28,35,阴,多云,2,54,2024-08-25
苏州,27,36,阴,阴,2,42,2024-08-26
苏州,26,33,阴,中雨,3,37,2024-08-27
苏州,27,33,中雨,阵雨,2,33,2024-08-28
苏州,26,34,阴,晴,3,26,2024-08-29
苏州,27,34,阴,晴,1,37,2024-08-30
苏州,27,34,多云,多云,1,40,2024-08-31
